"","Heterogeneity_Level_Name","Heterogeneity_Level","Replicates","Prior_Setting","Variable_Name","TESS","looic","log.MSE","per.bias","width_hpd_95","coverage_95","Sample_Size"
"1","50% less",2,1,"Complete Pooling","Intercept",304,1134.17648825485,3.25170886601479,22.7730411747555,2.12042259761654,FALSE,100
"2","50% less",2,1,"Complete Pooling","Age",304,1134.17648825485,-10.0943888837607,136.802463264752,0.0208715840422756,TRUE,100
"3","50% less",2,1,"Complete Pooling","Female",304,1134.17648825485,-5.4870169407662,3.30692965884492,0.588016710611613,TRUE,100
"4","50% less",2,1,"Complete Pooling","BMI",304,1134.17648825485,-8.2776413172572,-2.86977427331332,0.0614904019101051,TRUE,100
"5","50% less",2,1,"Complete Pooling","Liver_Mets",304,1134.17648825485,-4.23054470143499,-2.68585378347634,0.508899195415026,TRUE,100
"6","50% less",2,1,"Complete Pooling","Hepatic_Imp",304,1134.17648825485,-5.44084706902163,0.259192332967466,0.560740972800941,TRUE,100
"7","50% less",2,1,"Complete Pooling","Num_Mets_MoreThan2",304,1134.17648825485,-4.34554067459878,0.58720301244017,0.748035434867969,TRUE,100
"8","50% less",2,1,"Non-Informative","Intercept",44.0726068069855,694.839677299163,2.56107546470286,16.123224225974,5.46311233684656,FALSE,100
"9","50% less",2,1,"Non-Informative","Age",27.9967542320702,694.839677299163,-10.1469895947395,133.251411499708,0.0693783231749211,TRUE,100
"10","50% less",2,1,"Non-Informative","Female",53.6353816683313,694.839677299163,-3.38707364668577,-9.4497833038301,1.40026093274845,TRUE,100
"11","50% less",2,1,"Non-Informative","BMI",40.6624707356796,694.839677299163,-6.53149273236003,-6.87098634503197,0.169481768672318,TRUE,100
"12","50% less",2,1,"Non-Informative","Liver_Mets",48.7289269639003,694.839677299163,-4.03939567850292,2.95522021686128,1.28233336803978,TRUE,100
"13","50% less",2,1,"Non-Informative","Hepatic_Imp",40.5598254331954,694.839677299163,-1.17338471881544,-2.18922211162963,1.53122600216436,TRUE,100
"14","50% less",2,1,"Non-Informative","Num_Mets_MoreThan2",53.1743289136221,694.839677299163,-6.17026229402006,0.235806085994158,1.7747854080429,TRUE,100
"15","50% less",2,1,"PP(0)","Intercept",19.7731539528835,1565.77556942051,2.15243206487941,13.1436536660763,8.29195981112085,TRUE,100
"16","50% less",2,1,"PP(0)","Age",28.983948426789,1565.77556942051,-10.051175901508,139.790448166191,0.067943357260738,TRUE,100
"17","50% less",2,1,"PP(0)","Female",51.6722764939089,1565.77556942051,-3.3286683779519,-9.72981073971996,1.43004232404937,TRUE,100
"18","50% less",2,1,"PP(0)","BMI",40.8701954223409,1565.77556942051,-6.59352729350145,-6.66113831518118,0.169126971118281,TRUE,100
"19","50% less",2,1,"PP(0)","Liver_Mets",49.2210804993891,1565.77556942051,-4.12202851617293,2.83560906746966,1.28051488371016,TRUE,100
"20","50% less",2,1,"PP(0)","Hepatic_Imp",40.6176556696669,1565.77556942051,-1.19110395035526,-2.16991211078741,1.52694895486413,TRUE,100
"21","50% less",2,1,"PP(0)","Num_Mets_MoreThan2",54.0957809284613,1565.77556942051,-6.03787781884502,0.251942789348308,1.76373476484579,TRUE,100
