"","Heterogeneity_Level_Name","Heterogeneity_Level","Replicates","Prior_Setting","Variable_Name","TESS","looic","log.MSE","per.bias","width_hpd_95","coverage_95","Sample_Size"
"1","50% less",2,1,"Complete Pooling","Intercept",366,1730.96569113243,3.19228557630741,22.1063696598459,2.05391593649363,FALSE,162
"2","50% less",2,1,"Complete Pooling","Age",366,1730.96569113243,-9.97932067676583,144.904095731502,0.0217672347255309,TRUE,162
"3","50% less",2,1,"Complete Pooling","Female",366,1730.96569113243,-11.5531011554508,0.159291098264405,0.613383637332622,TRUE,162
"4","50% less",2,1,"Complete Pooling","BMI",366,1730.96569113243,-9.76574241119775,-1.36367441097282,0.0602539801747059,TRUE,162
"5","50% less",2,1,"Complete Pooling","Liver_Mets",366,1730.96569113243,-4.39235999566248,-2.47710617260576,0.509441814246233,TRUE,162
"6","50% less",2,1,"Complete Pooling","Hepatic_Imp",366,1730.96569113243,-8.70252645031074,0.0507408189311362,0.595294656757734,TRUE,162
"7","50% less",2,1,"Complete Pooling","Num_Mets_MoreThan2",366,1730.96569113243,-4.75482973379889,-0.478533432513754,0.675883725639726,TRUE,162
"8","50% less",2,1,"Non-Informative","Intercept",104.716463850815,1198.54302500751,3.00483775385912,20.1286037515685,3.87343284779363,FALSE,162
"9","50% less",2,1,"Non-Informative","Age",74.3794402556347,1198.54302500751,-9.32445082893558,201.040632377309,0.0482021432305599,TRUE,162
"10","50% less",2,1,"Non-Informative","Female",102.623721963516,1198.54302500751,-2.94141832588405,-11.8084983432309,1.1669870373036,TRUE,162
"11","50% less",2,1,"Non-Informative","BMI",125.737268192978,1198.54302500751,-7.93089571229301,3.41304951897033,0.101999926588138,TRUE,162
"12","50% less",2,1,"Non-Informative","Liver_Mets",112.046297876238,1198.54302500751,-5.00237972852382,-1.82591484532638,0.910489693034411,TRUE,162
"13","50% less",2,1,"Non-Informative","Hepatic_Imp",89.8981463711257,1198.54302500751,-3.03965554690713,-0.861061685170261,1.20905521222901,TRUE,162
"14","50% less",2,1,"Non-Informative","Num_Mets_MoreThan2",138.09229436719,1198.54302500751,-2.26296888192195,-1.66346241920547,1.09826298006756,TRUE,162
